status,url,slug_brand,slug_country,page_brand,page_country,title,h1,notes
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-fvrt1560-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-fvrt1575-fujimak-japan/,,japan,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-kinh-rt-126ma-sg-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Kính RT-126MA-SG - Hoshizaki,Bàn Mát 2 Cửa Kính RT-126MA-SG &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-kinh-rt-156ma-sg-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Kính RT-156MA-SG - Hoshizaki,Bàn Mát 2 Cửa Kính RT-156MA-SG &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-kinh-rtwh126ls4-gd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Kính RTWH126LS4-GD - Hoshizaki,Bàn Mát 2 Cửa Kính RTWH126LS4-GD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-kinh-rtwh156ls4-gd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Kính RTWH156LS4-GD - Hoshizaki,Bàn Mát 2 Cửa Kính RTWH156LS4-GD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-rtwh126ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa RTWH126LS4 - Hoshizaki,Bàn Mát 2 Cửa RTWH126LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-cua-rtwh156ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa RTWH156LS4 - Hoshizaki,Bàn Mát 2 Cửa RTWH156LS4 &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-kinh-cua-lua-rt-126ma-ssg/,,,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-kinh-cua-lua-rt-156ma-ssg/,,,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-2-kinh-cua-lua-rt-186ma-ssg/,,,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-ngan-keo-1-cua-rtdw137ms4-2d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Ngăn Kéo / 1 Cửa RTDW137MS4-2D - Hoshizaki,Bàn Mát 2 Ngăn Kéo / 1 Cửa RTDW137MS4-2D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-ngan-keo-2-ngan-keo-1-cua-rtdw187ms4-22d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo / 1 Cửa RTDW187MS4-22D - Hoshizaki,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo / 1 Cửa RTDW187MS4-22D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-ngan-keo-2-ngan-keo-2-ngan-keo-rtdw187ms4-222-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo / 2 Ngăn Kéo RTDW187MS4-222 - Hoshizaki,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo / 2 Ngăn Kéo RTDW187MS4-222 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-ngan-keo-2-ngan-keo-rtdw137ms4-22-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo RTDW137MS4-22 - Hoshizaki,Bàn Mát 2 Ngăn Kéo / 2 Ngăn Kéo RTDW137MS4-22 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-2-ngan-keo-rtl-108ma-sd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Ngăn Kéo RTL-108MA-SD - Hoshizaki,Bàn Mát 2 Ngăn Kéo RTL-108MA-SD &#8211; Hoshizaki,
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-fvrt1860-fujimak-japan/,,japan,,,,,no brand token in slug
SKIP,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-fvrt1875-fujimak-japan/,,japan,,,,,no brand token in slug
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-kinh-rt-186ma-sg-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa Kính RT-186MA-SG - Hoshizaki,Bàn Mát 3 Cửa Kính RT-186MA-SG &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-kinh-rt-188ma-sg-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa Kính RT-188MA-SG - Hoshizaki,Bàn Mát 3 Cửa Kính RT-188MA-SG &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-kinh-rtwh186ls4-gd-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa Kính RTWH186LS4-GD - Hoshizaki,Bàn Mát 3 Cửa Kính RTWH186LS4-GD &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-rtwh180ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa RTWH180LS4 - Hoshizaki,Bàn Mát 3 Cửa RTWH180LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-cua-rtwh186ls4-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa RTWH186LS4 - Hoshizaki,Bàn Mát 3 Cửa RTWH186LS4 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-1-cua-rt-126ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo 1 Cửa RT-126MA-S-3D - Hoshizaki,Bàn Mát 3 Ngăn Kéo 1 Cửa RT-126MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-1-cua-rt-156ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo 1 Cửa RT-156MA-S-3D - Hoshizaki,Bàn Mát 3 Ngăn Kéo 1 Cửa RT-156MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-1-cua-rtdw137ms4-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo / 1 Cửa RTDW137MS4-3D - Hoshizaki,Bàn Mát 3 Ngăn Kéo / 1 Cửa RTDW137MS4-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-2-cua-rt-186ma-s-3d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo 2 Cửa RT-186MA-S-3D - Hoshizaki,Bàn Mát 3 Ngăn Kéo 2 Cửa RT-186MA-S-3D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-3-ngan-keo-1-cua-rtdw187ms4-33d-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo / 1 Cửa RTDW187MS4-33D - Hoshizaki,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo / 1 Cửa RTDW187MS4-33D &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-3-ngan-keo-3-ngan-keo-rtdw187ms4-333-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo / 3 Ngăn Kéo RTDW187MS4-333 - Hoshizaki,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo / 3 Ngăn Kéo RTDW187MS4-333 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-3-ngan-keo-3-ngan-keo-rtdw137ms4-33-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo RTDW137MS4-33 - Hoshizaki,Bàn Mát 3 Ngăn Kéo / 3 Ngăn Kéo RTDW137MS4-33 &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-126ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-126MA-S - Hoshizaki,Bàn mát RT-126MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-126ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Không Vách Ngăn RT-126MA-S-ML - Hoshizaki,Bàn Mát 2 Cửa Không Vách Ngăn RT-126MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-128ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa RT-128MA-S - Hoshizaki,Bàn Mát 2 Cửa RT-128MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-128ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-128MA-S-ML - Hoshizaki,Bàn mát RT-128MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-128ma-s-pr-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Lạnh Salad RT-128MA-S-PR - Hoshizaki,Bàn Lạnh Salad RT-128MA-S-PR &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-156ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-156MA-S - Hoshizaki,Bàn mát RT-156MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-156ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa Không Vách Ngăn RT-156MA-S-ML - Hoshizaki,Bàn Mát 2 Cửa Không Vách Ngăn RT-156MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-158ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 2 Cửa RT-158MA-S - Hoshizaki,Bàn Mát 2 Cửa RT-158MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-158ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-158MA-S-ML - Hoshizaki,Bàn mát RT-158MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-158ma-s-pr-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Lạnh Salad RT-158MA-S-PR - Hoshizaki,Bàn Lạnh Salad RT-158MA-S-PR &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-186ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-186MA-S - Hoshizaki,Bàn mát RT-186MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-186ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 3 Cửa Không Vách Ngăn RT-186MA-S-ML - Hoshizaki,Bàn Mát 3 Cửa Không Vách Ngăn RT-186MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-188ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-188MA-S - Hoshizaki,Bàn mát RT-188MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-188ma-s-ml-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-188MA-S-ML - Hoshizaki,Bàn mát RT-188MA-S-ML &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-188ma-s-pr-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Lạnh Salad RT-188MA-S-PR - Hoshizaki,Bàn Lạnh Salad RT-188MA-S-PR &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-96ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn mát RT-96MA-S - Hoshizaki,Bàn mát RT-96MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-mat-rt-98ma-s-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Mát 1 Cửa RT-98MA-S - Hoshizaki,Bàn Mát 1 Cửa RT-98MA-S &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-salad-2-cua-rtwh120ls4-gnt-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Salad 2 Cửa RTWH120LS4-GNT - Hoshizaki,Bàn Salad 2 Cửa RTWH120LS4-GNT &#8211; Hoshizaki,
OK,https://saigonhoreca.vn/san-pham/ban-salad-2-cua-rtwh126ls4-gnt-hoshizaki/,hoshizaki,,hoshizaki,,Bàn Salad 2 Cửa RTWH126LS4-GNT - Hoshizaki,Bàn Salad 2 Cửa RTWH126LS4-GNT &#8211; Hoshizaki,
